epoch,trainingLoss,validationLoss
319,0.226,0.280
320,0.226,0.280
321,0.225,0.279
322,0.225,0.279
323,0.224,0.279
324,0.224,0.278
325,0.223,0.278
326,0.223,0.278
327,0.223,0.277
328,0.222,0.277
329,0.222,0.277
330,0.221,0.276
331,0.221,0.276
332,0.221,0.275
333,0.220,0.275
334,0.220,0.275
335,0.219,0.274
336,0.219,0.274
337,0.219,0.274
338,0.218,0.273
339,0.218,0.273
340,0.218,0.273
341,0.217,0.272
342,0.217,0.272
343,0.216,0.272
344,0.216,0.271
345,0.216,0.271
346,0.215,0.271
347,0.215,0.270
348,0.215,0.270
349,0.214,0.270
350,0.214,0.269
351,0.214,0.269
352,0.213,0.269
353,0.213,0.268
354,0.212,0.268
355,0.212,0.268
356,0.212,0.267
357,0.211,0.267
358,0.211,0.267
359,0.211,0.267
360,0.210,0.266
361,0.210,0.266
362,0.210,0.266
363,0.209,0.265
364,0.209,0.265
365,0.209,0.265
366,0.208,0.264
367,0.208,0.264
368,0.208,0.264
369,0.207,0.264
370,0.207,0.263
371,0.207,0.263
372,0.206,0.263
373,0.206,0.262
374,0.206,0.262
375,0.205,0.262
376,0.205,0.262
377,0.205,0.261
378,0.204,0.261
379,0.204,0.261
380,0.204,0.261
381,0.204,0.260
382,0.203,0.260
383,0.203,0.260
384,0.203,0.259
385,0.202,0.259
386,0.202,0.259
387,0.202,0.259
388,0.201,0.258
389,0.201,0.258
390,0.201,0.258
391,0.200,0.258
392,0.200,0.257
393,0.200,0.257
394,0.200,0.257
395,0.199,0.257
396,0.199,0.256
397,0.199,0.256
398,0.198,0.256
399,0.198,0.256
400,0.198,0.255
401,0.198,0.255
402,0.197,0.255
403,0.197,0.255
404,0.197,0.254
405,0.196,0.254
406,0.196,0.254
407,0.196,0.254
408,0.196,0.253
409,0.195,0.253
410,0.195,0.253
411,0.195,0.253
412,0.194,0.253
413,0.194,0.252
414,0.194,0.252
415,0.194,0.252
416,0.193,0.252
417,0.193,0.251
418,0.193,0.251
419,0.193,0.251
420,0.192,0.251
421,0.192,0.251
422,0.192,0.250
423,0.192,0.250
424,0.191,0.250
425,0.191,0.250
426,0.191,0.249
427,0.190,0.249
428,0.190,0.249
429,0.190,0.249
430,0.190,0.249
431,0.189,0.248
432,0.189,0.248
433,0.189,0.248
434,0.189,0.248
435,0.188,0.248
436,0.188,0.247
437,0.188,0.247
438,0.188,0.247
439,0.187,0.247
440,0.187,0.247
441,0.187,0.246
442,0.187,0.246
443,0.186,0.246
444,0.186,0.246
445,0.186,0.246
446,0.186,0.245
447,0.185,0.245
448,0.185,0.245
449,0.185,0.245
450,0.185,0.245
451,0.184,0.244
452,0.184,0.244
453,0.184,0.244
454,0.184,0.244
455,0.183,0.244
456,0.183,0.243
457,0.183,0.243
458,0.183,0.243
459,0.183,0.243
460,0.182,0.243
461,0.182,0.243
462,0.182,0.242
463,0.182,0.242
464,0.181,0.242
465,0.181,0.242
466,0.181,0.242
467,0.181,0.241
468,0.180,0.241
469,0.180,0.241
470,0.180,0.241
471,0.180,0.241
472,0.180,0.241
473,0.179,0.240
474,0.179,0.240
475,0.179,0.240
476,0.179,0.240
477,0.178,0.240
478,0.178,0.240
479,0.178,0.239
480,0.178,0.239
481,0.178,0.239
482,0.177,0.239
483,0.177,0.239
484,0.177,0.239
485,0.177,0.238
486,0.176,0.238
487,0.176,0.238
488,0.176,0.238
489,0.176,0.238
490,0.176,0.238
491,0.175,0.237
492,0.175,0.237
493,0.175,0.237
494,0.175,0.237
495,0.175,0.237
496,0.174,0.237
497,0.174,0.236
498,0.174,0.236
499,0.174,0.236
500,0.173,0.236
501,0.173,0.236
502,0.173,0.236
503,0.173,0.236
504,0.173,0.235
505,0.172,0.235
506,0.172,0.235
507,0.172,0.235
508,0.172,0.235
509,0.172,0.235
510,0.171,0.235
511,0.171,0.234
512,0.171,0.234
513,0.171,0.234
514,0.171,0.234
515,0.170,0.234
516,0.170,0.234
517,0.170,0.233
518,0.170,0.233
519,0.170,0.233
520,0.169,0.233
521,0.169,0.233
522,0.169,0.233
523,0.169,0.233
524,0.169,0.232
525,0.168,0.232
526,0.168,0.232
527,0.168,0.232
528,0.168,0.232
529,0.168,0.232
530,0.168,0.232
531,0.167,0.232
532,0.167,0.231
533,0.167,0.231
534,0.167,0.231
535,0.167,0.231
536,0.166,0.231
537,0.166,0.231
538,0.166,0.231
539,0.166,0.230
540,0.166,0.230
541,0.165,0.230
542,0.165,0.230
543,0.165,0.230
544,0.165,0.230
545,0.165,0.230
546,0.165,0.230
547,0.164,0.229
548,0.164,0.229
549,0.164,0.229
550,0.164,0.229
551,0.164,0.229
552,0.163,0.229
553,0.163,0.229
554,0.163,0.229
555,0.163,0.228
556,0.163,0.228
557,0.163,0.228
558,0.162,0.228
559,0.162,0.228
560,0.162,0.228
561,0.162,0.228
562,0.162,0.228
563,0.161,0.227
564,0.161,0.227
565,0.161,0.227
566,0.161,0.227
567,0.161,0.227
568,0.161,0.227
569,0.160,0.227
570,0.160,0.227
571,0.160,0.226
572,0.160,0.226
573,0.160,0.226
574,0.160,0.226
575,0.159,0.226
576,0.159,0.226
577,0.159,0.226
578,0.159,0.226
579,0.159,0.226
580,0.159,0.225
581,0.158,0.225
582,0.158,0.225
583,0.158,0.225
584,0.158,0.225
585,0.158,0.225
586,0.158,0.225
587,0.157,0.225
588,0.157,0.225
589,0.157,0.224
